x,y,z
-0.381985,0.910529,-0.437338
-0.381041,0.912561,-0.441908
-0.379874,0.915143,-0.446703
-0.379065,0.917319,-0.451315
-0.378047,0.919868,-0.456183
-0.376999,0.922234,-0.460649
-0.376057,0.924838,-0.465121
-0.375034,0.927492,-0.469353
-0.374029,0.930002,-0.473497
-0.372843,0.933317,-0.477764
-0.372043,0.935997,-0.481639
-0.371024,0.938676,-0.485395
-0.370022,0.942125,-0.489314
-0.368974,0.945257,-0.493018
-0.368048,0.948505,-0.496563
-0.367041,0.951974,-0.50019
-0.365979,0.955745,-0.503809
-0.364982,0.959364,-0.507236
-0.363942,0.963167,-0.510497
-0.362981,0.967014,-0.513973
-0.362058,0.970878,-0.517137
-0.361083,0.975221,-0.520371
-0.360113,0.979427,-0.52342
-0.359241,0.9837,-0.526346
-0.358292,0.988167,-0.529122
-0.35741,0.992513,-0.531793
-0.356475,0.997127,-0.534369
-0.355403,1.001937,-0.536809
-0.354419,1.00695,-0.539133
-0.353477,1.011791,-0.541314
-0.352598,1.016769,-0.543296
-0.351806,1.021564,-0.545142
-0.350726,1.027031,-0.54699
-0.349919,1.032044,-0.548681
-0.349218,1.037016,-0.550069
-0.34841,1.042407,-0.55145
-0.347589,1.047991,-0.552806
-0.346782,1.053172,-0.553942
-0.345846,1.05899,-0.555029
-0.345278,1.064566,-0.556062
-0.344512,1.070146,-0.556959
-0.343801,1.076001,-0.557749
-0.343145,1.081524,-0.558415
-0.342532,1.08755,-0.558811
-0.341911,1.093533,-0.55942
-0.341341,1.0995,-0.559581
-0.340844,1.105596,-0.559959
-0.340394,1.111704,-0.560082
-0.339975,1.117987,-0.560191
-0.339507,1.124389,-0.560084
-0.339036,1.130586,-0.560026
-0.338732,1.13669,-0.559844
-0.338324,1.143129,-0.559584
-0.338035,1.149485,-0.559147
-0.337771,1.155838,-0.558792
-0.337605,1.16222,-0.558192
-0.337365,1.168422,-0.557578
-0.337109,1.174641,-0.556847
-0.33708,1.181004,-0.556292
-0.336985,1.187064,-0.555416
-0.336951,1.19337,-0.554685
-0.336886,1.199437,-0.553597
-0.336891,1.205695,-0.552772
-0.336859,1.212005,-0.55165
-0.33691,1.218163,-0.550698
-0.336877,1.224203,-0.549522
-0.33698,1.230309,-0.548335
-0.337175,1.236286,-0.54705
-0.337268,1.242383,-0.545909
-0.337398,1.248039,-0.544518
-0.33761,1.254065,-0.54326
-0.337808,1.259928,-0.541794
-0.33796,1.265585,-0.540369
-0.338075,1.271502,-0.53885
-0.338275,1.27719,-0.537254
-0.338417,1.282789,-0.535533
-0.338597,1.288334,-0.533821
-0.338686,1.293865,-0.532158
-0.338976,1.299193,-0.530191
-0.339097,1.304535,-0.52836
-0.339221,1.309774,-0.526359
-0.339255,1.315287,-0.524512
-0.339488,1.320363,-0.522457
-0.339783,1.325249,-0.520276
-0.339889,1.330317,-0.518298
-0.339997,1.335488,-0.516205
-0.340197,1.3403,-0.514007
-0.340269,1.345325,-0.511727
-0.340453,1.350224,-0.509557
-0.340552,1.355135,-0.507303
-0.340625,1.359889,-0.504853
-0.340912,1.364565,-0.5023
-0.340973,1.369213,-0.49987
-0.341018,1.374215,-0.497362
-0.341061,1.378896,-0.494804
-0.341214,1.383524,-0.492118
-0.341413,1.388046,-0.489367
-0.341438,1.392314,-0.486426
-0.341485,1.397144,-0.483764
-0.341553,1.401684,-0.480924
-0.341713,1.406196,-0.477974
-0.341735,1.410378,-0.474984
-0.341693,1.414949,-0.472115
-0.341974,1.41933,-0.468805
-0.342055,1.423729,-0.465649
-0.342169,1.42808,-0.462516
-0.342157,1.432411,-0.459343
-0.342911,1.43719,-0.456449
-0.34244,1.44105,-0.452618
-0.342644,1.445431,-0.449492
-0.342782,1.449639,-0.44611
-0.342932,1.453922,-0.442888
-0.343172,1.458066,-0.439416
-0.343414,1.462252,-0.436021
-0.343657,1.466431,-0.432553
-0.343906,1.470815,-0.429297
-0.344214,1.474699,-0.425565
-0.344472,1.478918,-0.422167
-0.344888,1.482894,-0.418244
-0.345203,1.486879,-0.414542
-0.345495,1.490855,-0.410933
-0.345817,1.494784,-0.407141
-0.346135,1.498706,-0.403303
