x,y,z
-0.895937,1.461849,-0.350473
-0.8973,1.461603,-0.351094
-0.89866,1.461378,-0.351626
-0.899902,1.460968,-0.352193
-0.901085,1.460863,-0.35265
-0.902105,1.460381,-0.353126
-0.903072,1.460061,-0.353451
-0.904012,1.459588,-0.35385
-0.904747,1.459107,-0.354159
-0.905427,1.458521,-0.354401
-0.906081,1.458073,-0.354665
-0.9065,1.45743,-0.354627
-0.906891,1.456628,-0.354744
-0.907181,1.455772,-0.354739
-0.907327,1.454919,-0.354717
-0.90743,1.454057,-0.354788
-0.907334,1.452914,-0.354554
-0.907148,1.451883,-0.354288
-0.906863,1.45064,-0.353953
-0.906461,1.449349,-0.353741
-0.905933,1.448131,-0.353382
-0.905281,1.446651,-0.352976
-0.90448,1.445086,-0.352433
-0.903618,1.443659,-0.352068
-0.902551,1.441871,-0.351282
-0.901459,1.440141,-0.350706
-0.900159,1.43845,-0.34987
-0.898759,1.436518,-0.349241
-0.897282,1.434746,-0.348386
-0.895753,1.432808,-0.347786
-0.893933,1.430792,-0.346666
-0.892139,1.428779,-0.345985
-0.890145,1.42668,-0.344814
-0.888015,1.424488,-0.343825
-0.885881,1.422406,-0.342802
-0.883513,1.42013,-0.341757
-0.881011,1.417974,-0.340625
-0.878404,1.41562,-0.339508
-0.875692,1.413334,-0.338458
-0.8728,1.410861,-0.337123
-0.869836,1.408374,-0.336131
-0.866669,1.405967,-0.33478
-0.86341,1.403417,-0.333503
-0.860083,1.40092,-0.332234
-0.85658,1.398248,-0.331018
-0.852979,1.395516,-0.32969
-0.849295,1.392825,-0.328471
-0.845429,1.390007,-0.327075
-0.84144,1.3871,-0.325737
-0.837333,1.384174,-0.324409
-0.833047,1.381071,-0.323045
-0.828688,1.37795,-0.321629
-0.824153,1.3749,-0.320283
-0.819577,1.371582,-0.319007
-0.814841,1.368229,-0.317765
-0.810005,1.364789,-0.3164
-0.805039,1.361309,-0.315016
-0.800055,1.357854,-0.313804
-0.794921,1.354232,-0.312527
-0.789725,1.350613,-0.311212
-0.784464,1.346978,-0.31018
-0.778998,1.343158,-0.308924
-0.773509,1.339396,-0.307799
-0.767948,1.335553,-0.306631
-0.762305,1.331718,-0.30553
-0.756521,1.327685,-0.304463
-0.750712,1.323638,-0.303373
-0.74489,1.319618,-0.302396
-0.738993,1.315583,-0.301418
-0.732982,1.311309,-0.300389
-0.726944,1.307182,-0.29946
-0.720867,1.302908,-0.298654
-0.714723,1.298632,-0.297784
-0.708511,1.294343,-0.296948
-0.702274,1.289978,-0.296214
-0.69611,1.285676,-0.295688
-0.689725,1.281223,-0.295015
-0.683374,1.276749,-0.294369
-0.676977,1.272237,-0.293852
-0.670614,1.267753,-0.293343
-0.664129,1.263122,-0.292873
-0.6577,1.258541,-0.292522
-0.651138,1.253806,-0.292254
-0.644591,1.249112,-0.291986
-0.638071,1.244501,-0.291953
-0.631468,1.23967,-0.291934
-0.624854,1.234893,-0.29211
-0.618161,1.230021,-0.292056
-0.611595,1.225191,-0.292559
-0.60485,1.220215,-0.292554
-0.598179,1.215255,-0.293052
-0.59153,1.210277,-0.293503
-0.584918,1.205273,-0.294047
-0.578257,1.200279,-0.294547
-0.571649,1.195269,-0.295144
-0.56511,1.190324,-0.295814
-0.558542,1.185331,-0.29649
-0.552115,1.180399,-0.297469
-0.545633,1.175464,-0.298311
-0.539236,1.170543,-0.299124
-0.532882,1.165712,-0.299985
-0.526668,1.160939,-0.301124
-0.520447,1.156146,-0.302078
-0.514291,1.151477,-0.303125
-0.508183,1.146786,-0.304248
-0.502034,1.142101,-0.305341
-0.496091,1.137611,-0.306551
-0.490158,1.133021,-0.307859
-0.484296,1.128509,-0.309232
-0.478433,1.124055,-0.310726
-0.472642,1.119592,-0.312165
-0.466921,1.115237,-0.313729
-0.461255,1.110932,-0.315331
-0.455713,1.106683,-0.316996
-0.450187,1.10251,-0.318724
-0.444838,1.098443,-0.32059
-0.439554,1.094516,-0.322274
-0.434328,1.090588,-0.324149
-0.429148,1.086687,-0.325927
